honour_type,season_year,league_code,team_name,api_player_id,player_name,goals,honour_context,source
ucl_winner,2024,,Paris Saint Germain,,,,,wikipedia_ccc
ucl_winner,2025,,Paris Saint Germain,,,,won on penalties vs Arsenal,wikipedia_ccc
ballon_dor,2010,,,154,Lionel Messi,,,wikipedia_ccc
ballon_dor,2011,,,154,Lionel Messi,,,wikipedia_ccc
ballon_dor,2012,,,874,Cristiano Ronaldo,,,wikipedia_ccc
ballon_dor,2013,,,874,Cristiano Ronaldo,,,wikipedia_ccc
ballon_dor,2014,,,154,Lionel Messi,,,wikipedia_ccc
ballon_dor,2015,,,874,Cristiano Ronaldo,,,wikipedia_ccc
ballon_dor,2016,,,874,Cristiano Ronaldo,,,wikipedia_ccc
ballon_dor,2017,,,754,Luka Modric,,,wikipedia_ccc
ballon_dor,2018,,,154,Lionel Messi,,,wikipedia_ccc
ballon_dor,2020,,,154,Lionel Messi,,,wikipedia_ccc
ballon_dor,2021,,,759,Karim Benzema,,,wikipedia_ccc
ballon_dor,2022,,,154,Lionel Messi,,record 8th award,wikipedia_ccc
ballon_dor,2023,,,44,Rodri,,,wikipedia_ccc
ballon_dor,2024,,,153,Ousmane Dembele,,,wikipedia_ccc
golden_boot,2010,LL,Real Madrid,874,Cristiano Ronaldo,40,,wikipedia_ccc
golden_boot,2011,LL,Barcelona,154,Lionel Messi,50,record - most goals in a La Liga season,wikipedia_ccc
golden_boot,2012,LL,Barcelona,154,Lionel Messi,46,,wikipedia_ccc
golden_boot,2013,LL,Real Madrid,874,Cristiano Ronaldo,31,,wikipedia_ccc
golden_boot,2014,LL,Real Madrid,874,Cristiano Ronaldo,48,,wikipedia_ccc
golden_boot,2015,LL,Barcelona,157,Luis Suarez,40,,wikipedia_ccc
golden_boot,2016,LL,Barcelona,154,Lionel Messi,37,,wikipedia_ccc
golden_boot,2017,LL,Barcelona,154,Lionel Messi,34,,wikipedia_ccc
golden_boot,2018,LL,Barcelona,154,Lionel Messi,36,,wikipedia_ccc
golden_boot,2019,LL,Barcelona,154,Lionel Messi,25,,wikipedia_ccc
golden_boot,2020,LL,Barcelona,154,Lionel Messi,30,,wikipedia_ccc
golden_boot,2021,LL,Real Madrid,759,Karim Benzema,27,,wikipedia_ccc
golden_boot,2022,LL,Barcelona,521,Robert Lewandowski,23,,wikipedia_ccc
golden_boot,2023,LL,Girona,15811,Artem Dovbyk,24,,wikipedia_ccc
golden_boot,2024,LL,Real Madrid,278,Kylian Mbappe,31,,wikipedia_ccc
golden_boot,2025,LL,Real Madrid,278,Kylian Mbappe,25,,wikipedia_ccc
golden_boot,2010,PL,Manchester City,5982,Carlos Tevez,20,tie,wikipedia_ccc
golden_boot,2010,PL,Manchester United,113639,Dimitar Berbatov,20,tie,wikipedia_ccc
golden_boot,2011,PL,Arsenal,37162,Robin van Persie,30,,wikipedia_ccc
golden_boot,2012,PL,Manchester United,37162,Robin van Persie,26,,wikipedia_ccc
golden_boot,2013,PL,Liverpool,157,Luis Suarez,31,,wikipedia_ccc
golden_boot,2014,PL,Manchester City,642,Sergio Aguero,26,,wikipedia_ccc
golden_boot,2015,PL,Tottenham,184,Harry Kane,25,,wikipedia_ccc
golden_boot,2016,PL,Tottenham,184,Harry Kane,29,,wikipedia_ccc
golden_boot,2017,PL,Liverpool,306,Mohamed Salah,32,,wikipedia_ccc
golden_boot,2018,PL,Arsenal,1465,Aubameyang,22,three-way tie,wikipedia_ccc
golden_boot,2018,PL,Liverpool,304,Mane,22,three-way tie,wikipedia_ccc
golden_boot,2018,PL,Liverpool,306,Salah,22,three-way tie,wikipedia_ccc
golden_boot,2019,PL,Leicester,18788,Jamie Vardy,23,,wikipedia_ccc
golden_boot,2020,PL,Tottenham,184,Harry Kane,23,,wikipedia_ccc
golden_boot,2021,PL,Liverpool,306,Salah,23,tie,wikipedia_ccc
golden_boot,2021,PL,Tottenham,186,Son Heung-min,23,tie,wikipedia_ccc
golden_boot,2022,PL,Manchester City,1100,Erling Haaland,36,record - most goals in PL season,wikipedia_ccc
golden_boot,2023,PL,Manchester City,1100,Erling Haaland,27,,wikipedia_ccc
golden_boot,2024,PL,Liverpool,306,Mohamed Salah,29,,wikipedia_ccc
golden_boot,2025,PL,Manchester City,1100,Erling Haaland,27,,wikipedia_ccc
golden_boot,2010,SA,Udinese,115141,Antonio Di Natale,28,,wikipedia_ccc
golden_boot,2011,SA,AC Milan,51070,Zlatan Ibrahimovic,28,,wikipedia_ccc
golden_boot,2012,SA,Napoli,274,Edinson Cavani,29,,wikipedia_ccc
golden_boot,2013,SA,Torino,1863,Ciro Immobile,22,,wikipedia_ccc
golden_boot,2014,SA,Inter,216,Mauro Icardi,22,tie,wikipedia_ccc
golden_boot,2014,SA,Hellas Verona,115142,Luca Toni,22,tie,wikipedia_ccc
golden_boot,2015,SA,Napoli,2297,Gonzalo Higuain,36,record,wikipedia_ccc
golden_boot,2016,SA,AS Roma,790,Edin Dzeko,29,,wikipedia_ccc
golden_boot,2017,SA,Inter,216,Mauro Icardi,29,tie,wikipedia_ccc
golden_boot,2017,SA,Lazio,1863,Ciro Immobile,29,tie,wikipedia_ccc
golden_boot,2018,SA,Sampdoria,30463,Fabio Quagliarella,26,,wikipedia_ccc
golden_boot,2019,SA,Lazio,1863,Ciro Immobile,36,,wikipedia_ccc
golden_boot,2020,SA,Juventus,874,Cristiano Ronaldo,29,,wikipedia_ccc
golden_boot,2021,SA,Lazio,1863,Ciro Immobile,27,,wikipedia_ccc
golden_boot,2022,SA,Napoli,2780,Victor Osimhen,26,,wikipedia_ccc
golden_boot,2023,SA,Inter,217,Lautaro Martinez,24,,wikipedia_ccc
golden_boot,2024,SA,Atalanta,6420,Mateo Retegui,25,,wikipedia_ccc
golden_boot,2025,SA,Inter,217,Lautaro Martinez,17,,wikipedia_ccc
golden_boot,2010,BL,,26314,Mario Gomez,28,club not listed in source,wikipedia_ccc
golden_boot,2011,BL,,551,Klaas-Jan Huntelaar,29,club not listed in source,wikipedia_ccc
golden_boot,2012,BL,,90642,Stefan Kiessling,25,club not listed in source,wikipedia_ccc
golden_boot,2013,BL,,521,Robert Lewandowski,20,club not listed in source,wikipedia_ccc
golden_boot,2014,BL,,24947,Alexander Meier,19,club not listed in source,wikipedia_ccc
golden_boot,2015,BL,,521,Robert Lewandowski,30,club not listed in source,wikipedia_ccc
golden_boot,2016,BL,,1465,Pierre-Emerick Aubameyang,31,club not listed in source,wikipedia_ccc
golden_boot,2017,BL,,521,Robert Lewandowski,29,club not listed in source,wikipedia_ccc
golden_boot,2018,BL,,521,Robert Lewandowski,22,club not listed in source,wikipedia_ccc
golden_boot,2019,BL,,521,Robert Lewandowski,34,club not listed in source,wikipedia_ccc
golden_boot,2020,BL,,521,Robert Lewandowski,41,record; club not listed in source,wikipedia_ccc
golden_boot,2021,BL,,521,Robert Lewandowski,35,club not listed in source,wikipedia_ccc
golden_boot,2022,BL,,25391,Niclas Fullkrug,16,tie; club not listed in source,wikipedia_ccc
golden_boot,2022,BL,,269,Christopher Nkunku,16,tie; club not listed in source,wikipedia_ccc
golden_boot,2023,BL,,184,Harry Kane,36,club not listed in source,wikipedia_ccc
golden_boot,2024,BL,,184,Harry Kane,26,club not listed in source,wikipedia_ccc
golden_boot,2025,BL,,184,Harry Kane,36,club not listed in source,wikipedia_ccc
golden_boot,2010,L1,Lille,61981,Moussa Sow,25,,wikipedia_ccc
golden_boot,2011,L1,Montpellier,2295,Olivier Giroud,21,tie,wikipedia_ccc
golden_boot,2011,L1,Paris Saint Germain,9970,Nene,21,tie,wikipedia_ccc
golden_boot,2012,L1,Paris Saint Germain,51070,Zlatan Ibrahimovic,30,,wikipedia_ccc
golden_boot,2013,L1,Paris Saint Germain,51070,Zlatan Ibrahimovic,26,,wikipedia_ccc
golden_boot,2014,L1,Lyon,1467,Alexandre Lacazette,27,,wikipedia_ccc
golden_boot,2015,L1,Paris Saint Germain,51070,Zlatan Ibrahimovic,38,,wikipedia_ccc
golden_boot,2016,L1,Paris Saint Germain,274,Edinson Cavani,35,,wikipedia_ccc
golden_boot,2017,L1,Paris Saint Germain,274,Edinson Cavani,28,,wikipedia_ccc
golden_boot,2018,L1,Paris Saint Germain,278,Kylian Mbappe,33,,wikipedia_ccc
golden_boot,2019,L1,Monaco,2059,Wissam Ben Yedder,18,tie; season curtailed - COVID,wikipedia_ccc
golden_boot,2019,L1,Paris Saint Germain,278,Kylian Mbappe,18,tie; season curtailed - COVID,wikipedia_ccc
golden_boot,2020,L1,Paris Saint Germain,278,Kylian Mbappe,27,,wikipedia_ccc
golden_boot,2021,L1,Paris Saint Germain,278,Kylian Mbappe,28,,wikipedia_ccc
golden_boot,2022,L1,Paris Saint Germain,278,Kylian Mbappe,29,,wikipedia_ccc
golden_boot,2023,L1,Paris Saint Germain,278,Kylian Mbappe,27,,wikipedia_ccc
golden_boot,2024,L1,Paris Saint Germain,153,Ousmane Dembele,21,tie,wikipedia_ccc
golden_boot,2024,L1,Marseille,897,Mason Greenwood,21,tie,wikipedia_ccc
golden_boot,2025,L1,Rennes,163004,Esteban Lepaul,21,,wikipedia_ccc
golden_boot,2010,PRT,FC Porto,12705,Hulk,23,,wikipedia_ccc
golden_boot,2011,PRT,Benfica,70475,Oscar Cardozo,20,,wikipedia_ccc
golden_boot,2012,PRT,FC Porto,41373,Jackson Martinez,26,,wikipedia_ccc
golden_boot,2013,PRT,FC Porto,41373,Jackson Martinez,20,,wikipedia_ccc
golden_boot,2014,PRT,FC Porto,41373,Jackson Martinez,21,,wikipedia_ccc
golden_boot,2015,PRT,Benfica,580,Jonas,31,,wikipedia_ccc
golden_boot,2016,PRT,Sporting CP,1497,Bas Dost,34,,wikipedia_ccc
golden_boot,2017,PRT,Benfica,580,Jonas,34,,wikipedia_ccc
golden_boot,2018,PRT,Benfica,582,Haris Seferovic,23,,wikipedia_ccc
golden_boot,2019,PRT,Benfica,104,Carlos Vinicius,19,,wikipedia_ccc
golden_boot,2020,PRT,Sporting CP,18748,Pedro Goncalves,23,,wikipedia_ccc
golden_boot,2021,PRT,Benfica,51617,Darwin Nunez,26,,wikipedia_ccc
golden_boot,2022,PRT,FC Porto,42315,Mehdi Taremi,22,,wikipedia_ccc
golden_boot,2023,PRT,Sporting CP,18979,Viktor Gyokeres,29,,wikipedia_ccc
golden_boot,2024,PRT,Sporting CP,18979,Viktor Gyokeres,39,,wikipedia_ccc
golden_boot,2025,PRT,Sporting CP,47237,Luis Suarez,28,,wikipedia_ccc
golden_boot,2010,ERE,,76652,Bjorn Vleminckx,23,club not listed in source,wikipedia_ccc
golden_boot,2011,ERE,,1497,Bas Dost,32,club not listed in source,wikipedia_ccc
golden_boot,2012,ERE,,42246,Wilfried Bony,31,club not listed in source,wikipedia_ccc
golden_boot,2013,ERE,,2797,Alfred Finnbogason,29,club not listed in source,wikipedia_ccc
golden_boot,2014,ERE,,667,Memphis Depay,22,club not listed in source,wikipedia_ccc
golden_boot,2015,ERE,,183,Vincent Janssen,27,club not listed in source,wikipedia_ccc
golden_boot,2016,ERE,,2739,Nicolai Jorgensen,21,club not listed in source,wikipedia_ccc
golden_boot,2017,ERE,,2700,Alireza Jahanbakhsh,21,club not listed in source,wikipedia_ccc
golden_boot,2018,ERE,,246,Luuk de Jong,28,tie; club not listed in source,wikipedia_ccc
golden_boot,2018,ERE,,554,Dusan Tadic,28,tie; club not listed in source,wikipedia_ccc
