card_id,rt
132329,40
132330,72
132331,57
132332,58
132333,57
132334,42
132335,63
132336,80
132337,null
132338,69
132339,54
132340,null
132341,null
132342,81
132343,71
132344,70
132345,null
132346,64
132347,null
132348,64
132349,57
132350,42
132351,null
132352,49
132353,66
132354,null
132355,67
132356,49
132357,82
132358,58
132359,61
132360,53
132361,43
132362,62
132363,70
132364,51
132365,null
132366,null
132367,46
132368,null
132369,55
132370,null
132371,60
132372,75
132373,73
132374,66
132375,77
132376,60
132377,66
132378,65
132379,37
132380,47
132381,69
132382,66
132383,66
132384,52
132385,50
132386,52
132387,59
132388,49
132389,48
132390,55
132391,89
132392,64
132393,69
132394,69
132395,56
132396,66
132397,37
132398,80
132399,55
132400,65
132401,62
132402,57
132403,64
132404,81
132405,50
132406,68
132407,75
132408,77
132409,57
132410,72
132411,52
132412,62
132413,61
132414,69
132415,69
132416,14
132417,70
132418,60
132419,66
132420,64
132421,71
132422,59
132423,59
132424,86
132425,55
132426,72
132427,90
132428,64
132429,59
132430,80
132431,57
132432,75
132433,70
132434,66
132435,69
132436,25
132437,77
132438,75
132439,31
132440,68
132441,58
132442,62
132443,72
132444,58
132445,72
132446,60
132447,65
132448,72
132449,62
132450,71
132451,62
132452,75
132453,41
132454,69
132455,60
132456,75
132457,47
132458,40
132459,54
132460,61
132461,53
132462,69
132463,78
132464,46
132465,67
132466,70
132467,45
132468,85
132469,39
132470,64
132471,75
132472,60
132473,70
132474,61
132475,63
132476,43
132477,83
132478,33
132479,82
132480,65
132481,65
132482,60
132483,66
132484,61
132485,68
132486,68
132487,75
132488,60
132489,83
132490,58
132491,82
132492,75
132493,59
132494,71
132495,53
132496,49
132497,79
132498,60
132499,78
132500,56
132501,62
132502,75
132503,57
132504,83
132505,64
132506,33
132507,51
132508,39
132509,61
132510,64
132511,75
132512,60
132513,20
132514,64
132515,71
132516,43
132517,68
132518,56
132519,67
132520,56
132521,56
132522,33
132523,49
132524,49
132525,58
132526,63
132527,61
132528,66
132529,63
132530,47
132531,66
132532,60
132533,62
132534,72
132535,65
132536,81
132537,48
132538,61
132539,60
132540,35
132541,58
132542,55
132543,67
132544,59
132545,61
132546,61
132547,31
132548,64
132549,59
132550,52
132551,67
132552,44
132553,68
132554,46
132555,49
132556,30
132557,27
132558,45
132559,57
132560,73
132561,65
132562,66
132563,32
132564,35
132565,32
132566,63
132567,67
132568,59
132569,75
132570,67
132571,46
132572,47
132573,54
132574,68
132575,54
132576,57
132577,49
132578,60
132579,52
132580,46
132581,62
132582,46
132583,69
132584,65
132585,53
132586,64
132587,55
132588,63
132589,34
132590,60
132591,80
132592,55
132593,25
132594,62
132595,59
132596,82
132597,25
132598,40
132599,63
132600,59
132601,64
132602,64
132603,67
132604,58
132605,49
132606,71
132607,82
132608,60
132609,30
132610,40
132611,74
132612,30
132613,52
132614,64
132615,64
132616,75
132617,65
132618,62
132619,42
132620,63
132621,66
132622,63
132623,50
132624,74
132625,59
132626,82
132627,27
132628,72
132629,53
132630,81
132631,29
132632,88
132633,65
132634,65
132635,37
132636,63
132637,44
132638,29
132639,23
132640,74
132641,43
132642,77
132643,70
132644,54
132645,53
132646,57
132647,53
132648,69
132649,64
132650,58
132651,29
132652,61
132653,61
132654,63
132655,77
132656,56
132657,63
132658,86
132659,73
132660,45
132661,66
132662,46
132663,58
132664,68
132665,34
132666,43
132667,40
132668,59
132669,92
132670,40
132671,74
132672,71
132673,62
132674,75
132675,69
132676,66
132677,34
132678,78
132679,65
132680,65
132681,41
132682,37
132683,75
132684,90
132685,80
132686,82
132687,69
132688,52
132689,75
132690,58
132691,62
132692,55
132693,52
132694,85
132695,58
132696,64
132697,83
132698,58
132699,75
132700,55
132701,62
132702,63
132703,56
132704,85
132705,59
132706,33
132707,45
132708,65
132709,87
132710,77
132711,55
132712,52
132713,71
132714,65
132715,76
132716,55
132717,60
132718,53
132719,75
132720,64
132721,58
132722,65
132723,71
132724,43
132725,69
132726,38
132727,39
132728,80
132729,59
132730,59
132731,59
132732,66
132733,29
132734,59
132735,84
132736,62
132737,67
132738,null
132739,79
132740,62
132741,null
132742,85
132743,64
132744,69
132745,null
132746,58
132747,65
132748,63
132749,null
132750,69
132751,57
132752,null
132753,58
132754,78
132755,56
132756,45
132757,44
132758,null
132759,56
132760,64
132761,null
132762,null
132763,57
132764,61
132765,null
132766,52
132767,34
132768,66
132769,64
132770,78
