card_id,api_player_id,player_name,season,league_code,season_year,from_pool,to_pool,rt_before,confidence
154473,153,"O. Dembélé",1617,BL,2016,ST,Winger,80,high
151944,81573,"Omar Marmoush",2324,BL,2023,ST,ST,80,medium
133937,1465,"P. Aubameyang",1718,PL,2017,ST,ST,80,high
154213,1465,"P. Aubameyang",1718,BL,2017,ST,ST,80,high
153352,25292,"P. Max",1920,BL,2019,CB,FB,80,high
131149,47519,"Pedro Porro",2324,PL,2023,FB,FB,80,high
133946,147,"Philippe Coutinho",1718,PL,2017,CAM,Winger,80,low
164808,18748,"Pote",2223,PRT,2022,ST,CAM,80,medium
134031,2287,"R. Barkley",1617,PL,2016,CM,CAM,80,medium
145201,907,"R. Lukaku",2324,SA,2023,ST,ST,80,high
145308,907,"R. Lukaku",2223,SA,2022,ST,ST,80,high
181767,46725,"R. Manaj",2324,TR,2023,ST,ST,80,medium
148745,30456,"R. Saponara",1516,SA,2015,,CAM,80,medium
146248,30483,"R. Soriano",2021,SA,2020,CM,CAM,80,medium
171276,8509,"R. Vloet",2021,ERE,2020,CM,CAM,80,medium
164424,573,"Rafa",2324,PRT,2023,Winger,Winger,80,high
164163,135333,"Rafa Mujica",2324,PRT,2023,ST,ST,80,medium
144878,22236,"Rafael Leão",2324,SA,2023,Winger,Winger,80,high
152012,8,"Raphaël Guerreiro",2223,BL,2022,FB,FB,80,medium
165056,41103,"Ricardo Horta",2122,PRT,2021,ST,Winger,80,medium
131987,2413,"Richarlison",2122,PL,2021,ST,ST,80,medium
132685,302,"Roberto Firmino",2021,PL,2020,Winger,ST,80,high
172176,37162,"Robin van Persie",1819,ERE,2018,Winger,ST,80,high
185057,37162,"Robin van Persie",1516,TR,2015,ST,ST,80,medium
139067,47471,"Roger",2021,LL,2020,ST,ST,80,medium
181347,326102,"Rômulo",2425,TR,2024,ST,ST,80,medium
171763,37160,"S. Berghuis",1920,ERE,2019,ST,Winger,80,high
172098,36987,"S. Lammers",1819,ERE,2018,Winger,ST,80,medium
134469,18956,"S. Long",1516,PL,2015,,ST,80,medium
166819,2603,"S. Nakajima",1718,PRT,2017,ST,Winger,80,medium
170135,37784,"S. Steijn",2324,ERE,2023,CM,CAM,80,medium
163759,358628,"Samu",2425,PRT,2024,ST,ST,80,high
172017,37180,"Simon Gustafson",1819,ERE,2018,CM,CM,80,low
131857,283,"T. Alexander-Arnold",2223,PL,2022,FB,FB,80,high
170053,39100,"T. Lauritsen",2324,ERE,2023,ST,ST,80,medium
160594,45,"T. Lemar",1617,L1,2016,Winger,Winger,80,high
158065,21443,"T. Savanier",2223,L1,2022,CM,CAM,80,medium
176155,8966,"T. Teuma",2223,BPL,2022,CM,CM,80,medium
166292,390,"Tiquinho Soares",1819,PRT,2018,Winger,ST,80,high
166802,386,"V. Aboubakar",1718,PRT,2017,ST,ST,80,high
161072,1918,"V. Germain",1516,L1,2015,,ST,80,medium
152863,26248,"V. Grifo",2021,BL,2020,CM,Winger,80,high
176397,183,"V. Janssen",2223,BPL,2022,ST,ST,80,high
138514,50048,"V. Muriqi",2223,LL,2022,ST,ST,80,high
183456,50048,"V. Muriqi",1920,TR,2019,ST,ST,80,medium
159531,2780,"V. Osimhen",1920,L1,2019,ST,ST,80,high
171000,36798,"V. Pavlidis",2122,ERE,2021,ST,ST,80,high
184603,42309,"Wesley Sneijder",1617,TR,2016,CDM,CAM,80,high
151584,162016,"X. Simons",2425,BL,2024,ST,CAM,80,medium
139228,2923,"Y. Carrasco",2021,LL,2020,Winger,Winger,80,low
147470,31032,"Y. Gervinho",1819,SA,2018,ST,Winger,80,high
146946,51070,"Z. Ibrahimović",1920,SA,2019,ST,ST,80,high
