club_rank,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,status,api_player_id,card_id
7,A. Mac Allister,2324,Liverpool,PL,CM,MID,75,5,5,2611,0.62,unchecked,6716,131132
7,X. Shaqiri,1819,Liverpool,PL,CAM,MID,75,6,3,1058,0.51,held,307,133534
7,J. Milner,1819,Liverpool,PL,CM,MID,74,5,4,1785,0.76,unchecked,296,133238
7,R. Gravenberch,2526,Liverpool,PL,CDM,MID,73,5,3,2996,0.93,unchecked,542,108918
7,H. Elliott,2324,Liverpool,PL,CM,MID,73,3,6,1337,0.61,unchecked,19035,131144
7,J. Henderson,1920,Liverpool,PL,CM,MID,73,4,5,2244,0.68,unchecked,292,132863
7,F. Wirtz,2526,Liverpool,PL,CM,MID,72,5,3,2399,1.46,unchecked,203224,130274
7,E. Can,1617,Liverpool,PL,CAM,MID,70,5,2,2368,0.8,held,864,134342
8,M. Ødegaard,2223,Arsenal,PL,CAM,MID,88,15,7,3149,1.4,unchecked,37127,131533
8,M. Özil,1516,Arsenal,PL,CAM,MID,88,6,19,3049,1.36,unchecked,1458,134800
8,M. Ødegaard,2324,Arsenal,PL,CAM,MID,85,8,10,3104,1.07,unchecked,37127,131118
8,M. Özil,1617,Arsenal,PL,CAM,MID,85,8,9,2848,1.01,unchecked,1458,134385
8,D. Rice,2324,Arsenal,PL,CM,MID,82,7,8,3232,0.58,unchecked,2937,131110
8,G. Xhaka,2223,Arsenal,PL,CM,MID,81,7,7,3004,0.48,unchecked,1464,131614
8,Santi Cazorla,1213,Arsenal,PL,CM,MID,81,12,NR,3311,NR,unchecked,1695,135891
8,H. Mkhitaryan,1819,Arsenal,PL,CDM,MID,80,6,4,1643,1.1,unchecked,1457,133507
8,M. Ødegaard,2122,Arsenal,PL,CAM,MID,78,7,4,2793,0.81,unchecked,37127,131961
8,A. Ramsey,1819,Arsenal,PL,CDM,MID,78,4,6,1327,0.81,unchecked,1459,133539
8,D. Rice,2425,Arsenal,PL,CM,MID,76,4,7,2833,0.44,unchecked,2937,130698
8,M. Ødegaard,2425,Arsenal,PL,CM,MID,76,3,8,2331,0.97,unchecked,37127,130704
8,Mikel Merino,2425,Arsenal,PL,CM,MID,76,7,2,1581,0.51,unchecked,47311,130706
8,E. Eze,2526,Arsenal,PL,CM,MID,76,7,2,1900,1.37,unchecked,19586,186833
8,M. Özil,1819,Arsenal,PL,CDM,MID,73,5,2,1741,1.09,unchecked,1458,133585
8,D. Rice,2526,Arsenal,PL,CM,MID,72,4,5,3099,0.41,unchecked,2937,130538
8,A. Oxlade-Chamberlain,1617,Arsenal,PL,CM,MID,72,2,7,1562,3.51,unchecked,297,134382
8,Mikel Merino,2526,Arsenal,PL,CM,MID,70,4,3,1035,0.43,unchecked,47311,130546
9,C. Palmer,2425,Chelsea,PL,CAM,MID,88,15,8,3199,1.43,unchecked,152982,130812
9,E. Fernández,2526,Chelsea,PL,CDM,MID,85,10,4,3134,0.37,unchecked,5996,130489
9,Cesc Fàbregas,1617,Chelsea,PL,CDM,MID,85,5,12,1328,0.81,unchecked,108,134065
9,E. Fernández,2425,Chelsea,PL,CDM,MID,82,6,7,2948,0.79,unchecked,5996,130809
9,C. Palmer,2526,Chelsea,PL,CAM,MID,80,10,1,1978,1,unchecked,152982,130497
9,C. Gallagher,2324,Chelsea,PL,CDM,MID,80,5,7,3137,1.09,unchecked,67972,131463
9,M. Mount,1920,Chelsea,PL,CAM,MID,79,7,5,2874,1.25,held,19220,132839
9,Pedro Neto,2526,Chelsea,PL,CM,MID,77,5,6,2643,1.6,unchecked,1864,130488
9,M. Mount,2021,Chelsea,PL,CM,MID,77,6,5,2891,1.34,unchecked,19220,132437
9,Jorginho,2122,Chelsea,PL,CDM,MID,75,6,2,2278,0.63,unchecked,2289,132330
9,Jorginho,2021,Chelsea,PL,CM,MID,74,7,1,2013,0.76,unchecked,2289,132744
9,R. Loftus-Cheek,1819,Chelsea,PL,CM,MID,73,6,2,983,3.75,unchecked,2292,133492
9,M. Caicedo,2425,Chelsea,PL,CDM,MID,72,1,2,3356,0.78,unchecked,116117,130811
9,M. Caicedo,2526,Chelsea,PL,CDM,MID,71,3,1,2802,0.48,unchecked,116117,130496
9,M. Mudryk,2324,Chelsea,PL,CM,MID,71,5,2,1586,2.21,unchecked,63577,131208
