player_name,season,club,current_pool,goals,assists,minutes,dribbles_success,passes_key
João Mário,2223,Benfica,CAM,17,6,2477,28,53
K. De Bruyne,2324,Manchester City,CAM,4,10,1235,10,59
L. Pellegrini,2122,AS Roma,CAM,9,5,2300,43,68
M. Mahi,1617,Groningen,CAM,17,3,2570,36,34
P. Foden,2526,Manchester City,CAM,7,5,2119,25,56
Philippe Coutinho,1718,Liverpool,CAM,7,6,1116,39,40
Pizzi,1617,Benfica,CAM,10,8,2846,29,90
R. Ghezzal,2021,Beşiktaş,CAM,8,17,2418,55,93
Rafael van der Vaart,1112,Tottenham,CAM,11,NR,2335,NR,NR
S. Szymański,2324,Fenerbahçe,CAM,10,11,2916,9,76
T. Hazard,1718,Borussia Mönchengladbach,CAM,10,5,2946,52,66
A. Iwobi,2425,Fulham,CAM,9,6,2994,48,60
A. Rebić,2021,AC Milan,CAM,11,4,1783,20,36
Ayoze Pérez,1819,Newcastle,CAM,12,2,2929,46,46
E. Bardhi,1718,Levante,CAM,9,1,1580,24,24
F. Wirtz,2122,Bayer Leverkusen,CAM,7,10,1864,55,61
H. Vanaken,2425,Club Brugge KV,CAM,9,12,3265,19,74
H. Vanaken,2324,Club Brugge KV,CAM,9,12,3265,19,74
H. Vanaken,2223,Club Brugge KV,CAM,14,6,3574,26,66
J. Musiala,2425,Bayern München,CAM,12,2,1804,69,41
J. Musiala,2324,Bayern München,CAM,10,5,1767,83,41
Lucas Paquetá,2122,Lyon,CAM,9,6,2711,81,42
Luis Alberto,2122,Lazio,CAM,5,10,2362,27,67
M. Götze,1819,Borussia Dortmund,CAM,7,7,1680,26,41
M. Mount,1920,Chelsea,CAM,7,5,2874,40,52
M. Reus,1920,Borussia Dortmund,CAM,11,5,1502,26,22
R. Oudin,1819,Reims,CAM,10,4,2627,12,25
S. Benrahma,2122,West Ham,CAM,8,6,2184,37,32
T. Souček,2021,West Ham,CAM,10,1,3420,16,18
A. Büyük,2021,Yeni Malatyaspor,CAM,17,3,2900,49,35
B. Raman,1819,Fortuna Düsseldorf,CAM,10,4,1678,37,21
D. van de Beek,1819,Ajax,CAM,9,10,2441,20,41
G. Til,2526,PSV Eindhoven,CAM,14,4,2247,3,43
J. Bamba,1819,Lille,CAM,13,3,3011,34,43
Kwon Chang-Hoon,1718,Dijon,CAM,11,3,2143,28,32
M. Gregoritsch,1718,FC Augsburg,CAM,13,2,2535,12,21
M. Ødegaard,2122,Arsenal,CAM,7,4,2793,25,78
N. Pépé,1718,Lille,CAM,13,4,2844,73,40
S. Gnabry,1718,1899 Hoffenheim,CAM,10,5,1519,45,27
V. Grifo,1617,SC Freiburg,CAM,6,8,2494,37,72
B. Cristante,1718,Atalanta,CAM,9,2,2835,52,48
Brahim Díaz,2324,Real Madrid,CAM,8,6,1582,55,30
Carlos Carmona Bonet,1617,Sporting Gijon,CAM,8,2,1865,12,26
D. van de Beek,1718,Ajax,CAM,11,6,2856,45,50
