player_name,season,club,current_pool,goals,assists,minutes,dribbles_success,passes_key
S. Amallah,1819,Royal Excel Mouscron,CAM,3,NR,1465,NR,NR
Salvador Agra,1617,Nacional,CAM,3,3,2534,17,53
T. Bongonda,1920,Genk,CAM,5,NR,1420,NR,NR
T. Minamino,2021,Southampton,CAM,2,NR,717,7,NR
Y. Sarı,2122,Rizespor,CAM,3,2,653,21,12
A. Ayew,1819,Fenerbahçe,CAM,5,NR,2062,27,12
A. Diaby,1920,Beşiktaş,CAM,5,NR,1839,44,20
A. Guðmundsson,2122,AZ Alkmaar,CAM,4,1,1091,20,16
A. Maher,1617,Ankaraspor,CAM,2,1,1317,27,29
A. Nordin,1819,Saint Etienne,CAM,3,1,1046,22,12
A. Zambo Anguissa,2021,Fulham,CAM,0,3,2587,96,27
D. Rots,2122,Twente,CAM,3,3,1725,29,18
E. Bardhi,2021,Levante,CAM,1,2,1688,35,22
E. Vignato,2021,Bologna,CAM,1,4,1193,23,27
F. Chiesa,2122,Juventus,CAM,2,2,868,21,17
F. Honorat,1920,Saint Etienne,CAM,0,3,849,6,13
Gabriel Martinelli,1920,Arsenal,CAM,3,NR,656,9,2
Gabrielzinho,1819,Rio Ave,CAM,3,2,1462,31,12
H. Pérez,1617,Espanyol,CAM,3,1,1792,34,16
Héldon Augusto Almeida Ramos,1617,Rio Ave,CAM,0,4,1987,36,25
J. Hoilett,1819,Cardiff,CAM,3,1,2142,23,25
L. Milivojević,1617,Crystal Palace,CAM,2,NR,1227,7,5
L. Rosier,2122,Estoril,CAM,3,1,2292,10,19
Luis Henrique,2021,Marseille,CAM,0,5,667,13,15
M. Chouiar,1920,Dijon,CAM,4,NR,1512,70,44
M. García,1617,Las Palmas,CAM,2,NR,721,25,10
M. Rosheuvel,1718,Roda,CAM,2,5,2776,81,58
Mohamed Elneny,1920,Beşiktaş,CAM,1,3,2209,9,14
Nathan,1718,Belenenses,CAM,2,1,492,8,6
O. Çağlayan,1920,Rizespor,CAM,3,2,1203,17,18
P. Lees-Melou,1819,Nice,CAM,2,1,2393,15,30
Ramadan Sobhi,1718,Stoke City,CAM,2,NR,1233,31,15
S. Tabekou,2021,Royal Excel Mouscron,CAM,4,2,1998,35,32
Serginho,2122,Giresunspor,CAM,4,2,2574,62,44
Stefano Napoleoni,1617,Başakşehir,CAM,4,NR,388,0,6
T. Coulibaly,2223,VfB Stuttgart,CAM,4,NR,322,11,6
Y. Bammou,1617,Nantes,CAM,4,1,1774,8,23
A. De Bruyn,1920,St. Truiden,CAM,3,NR,1999,NR,NR
A. Iwobi,2122,Everton,CAM,2,2,2037,32,37
A. Mabil,1718,Pacos Ferreira,CAM,2,3,1437,10,34
A. Murgia,1617,Lazio,CAM,2,NR,483,3,7
Brahim Díaz,1819,Real Madrid,CAM,1,1,381,17,7
D. Machís,1617,Leganes,CAM,1,3,1046,22,10
Éber Bessa,1617,Maritimo,CAM,2,1,1633,5,16
Fabrício Baiano,2021,Rizespor,CAM,1,3,1984,26,13
G. Botos,2122,GO Ahead Eagles,CAM,3,NR,1032,5,8
Gil Dias,1718,Fiorentina,CAM,2,2,1178,31,23
I. Azzaoui,2122,Heracles,CAM,3,2,430,13,7
İ. Kahveci,2425,Fenerbahçe,CAM,2,3,934,11,31
J. Bruun Larsen,1819,Borussia Dortmund,CAM,2,2,1270,17,18
J. Léa Siliki,1819,Rennes,CAM,0,3,1219,12,18
J. Willock,2122,Newcastle,CAM,2,NR,2047,36,18
Jaílson,1819,Fenerbahçe,CAM,2,1,1475,9,16
K. Monnet-Paquet,1718,Saint Etienne,CAM,2,3,1769,20,23
L. Oyen,2122,Genk,CAM,2,3,944,21,22
L. Singh,1920,Moreirense,CAM,3,2,1272,32,26
M. Lopez,1920,Marseille,CAM,0,3,1109,16,19
Óliver Torres,2021,Sevilla,CAM,0,3,1395,34,27
R. Del Castillo,1819,Rennes,CAM,0,3,1338,36,26
R. Thomas,1718,PEC Zwolle,CAM,1,3,2711,39,38
R. Yalçın,1920,Yeni Malatyaspor,CAM,3,NR,2325,12,7
S. Bergwijn,2021,Tottenham,CAM,1,3,1211,22,13
S. Steijn,2122,ADO Den Haag,CAM,3,NR,525,3,10
T. Müller,2425,Bayern München,CAM,1,4,1255,9,35
Xeka,1617,Lille,CAM,1,2,1127,7,9
Y. Karamoh,2122,Fatih Karagümrük,CAM,4,1,1603,48,15
A. Skov Olsen,2021,Bologna,CAM,2,2,1176,17,20
André Vidigal,2122,Maritimo,CAM,1,3,2159,38,16
Andreas Pereira,1819,Manchester United,CAM,1,1,595,7,9
Ayoze Pérez,2223,Real Betis,CAM,3,1,1395,42,13
B. Manuel,1617,Lierse,CAM,4,NR,810,NR,NR
E. Camavinga,2021,Rennes,CAM,1,2,2411,43,21
F. Diabaté,2021,Göztepe,CAM,2,3,1091,26,12
F. Diabaté,1819,Sivasspor,CAM,2,3,1415,35,17
F. Vázquez,1920,Sevilla,CAM,3,NR,1087,19,9
Fábio Sturgeon,1819,Feirense,CAM,2,3,2076,29,16
Felipe Pires,2021,Moreirense,CAM,4,1,1600,18,16
Gabriel Martinelli,2021,Arsenal,CAM,2,1,588,13,9
Galeno,2021,SC Braga,CAM,3,3,2485,63,51
H. Choudhury,1920,Leicester,CAM,1,1,889,3,4
H. Saivet,1617,Saint Etienne,CAM,1,2,1770,19,22
I. Mbenza,1617,Montpellier,CAM,3,1,951,18,12
J. Bamba,1920,Lille,CAM,1,4,1942,45,36
J. Doku,2021,Rennes,CAM,2,3,2317,110,43
J. Hauge,2021,AC Milan,CAM,2,NR,520,9,11
J. Stojanović,1718,Kortrijk,CAM,4,NR,753,NR,NR
Jhonata Robert,2021,Famalicao,CAM,4,NR,615,18,18
Jon Morcillo,2021,Athletic Club,CAM,2,2,1363,13,26
K. Kesgin,2122,Sivasspor,CAM,2,1,1209,16,16
K. N’Dri,2425,OH Leuven,CAM,3,2,1592,27,24
Kwon Chang-Hoon,1819,Dijon,CAM,2,NR,935,19,13
Lucas Paquetá,1819,AC Milan,CAM,1,1,851,16,9
Lucas Piazón,1920,Rio Ave,CAM,2,1,1268,6,13
M. Doumbia,1819,Reims,CAM,3,1,1600,32,20
M. Kamara,2122,Hatayspor,CAM,4,NR,801,23,8
M. Lanzini,2021,West Ham,CAM,1,1,558,6,11
M. Vrousai,1920,Willem II,CAM,2,3,945,16,20
Mama Baldé,1718,Aves,CAM,3,1,815,14,4
Modou Barrow,1920,Denizlispor,CAM,3,2,1879,33,30
P. Sisto,1819,Celta Vigo,CAM,2,1,844,26,13
R. Kouamé,2122,Estac Troyes,CAM,1,2,2977,64,20
Ricardo Valente,1617,Pacos Ferreira,CAM,4,NR,1496,0,1
S. Gümüş,2021,Fenerbahçe,CAM,3,1,570,4,8
S. Limbombe,1819,Gent,CAM,4,NR,1240,NR,NR
Santi Comesaña,2122,Rayo Vallecano,CAM,1,2,2697,48,27
V. Rongier,2021,Marseille,CAM,1,2,1894,26,13
Zé Manuel,1920,Santa Clara,CAM,4,NR,975,4,7
A. Dobre,2223,Famalicao,CAM,2,3,1034,12,18
A. Regattin,1617,Ankaraspor,CAM,1,2,1989,29,60
Allano,2122,Santa Clara,CAM,2,3,1023,24,12
Arthur Gomes,2122,Estoril,CAM,2,4,2216,38,38
C. Ünder,1920,AS Roma,CAM,3,NR,887,32,27
D. Sinik,2223,Antalyaspor,CAM,3,1,694,14,7
E. Lieftink,1718,Willem II,CAM,1,2,1182,10,13
Fernando Andrade,2021,Rizespor,CAM,2,3,1279,22,20
H. Sacko,1819,Ankaragücü,CAM,3,1,1137,18,7
J. Attamah,2122,Kayserispor,CAM,2,1,1925,7,6
K. Bellarabi,1718,Bayer Leverkusen,CAM,1,3,1143,23,28
Kuca,1718,Boavista,CAM,3,1,1285,16,10
L. da Cunha,2122,Clermont Foot,CAM,2,NR,843,19,13
L. Selahi,1920,Twente,CAM,2,1,1872,26,8
M. Ahlinvi,2021,Nimes,CAM,2,NR,893,19,5
M. Engels,1718,Roda,CAM,1,2,995,15,15
M. Tankovic,1617,AZ Alkmaar,CAM,2,2,676,13,13
Manu Morlanes,2122,Espanyol,CAM,2,NR,1168,13,6
Mattheus Oliveira,1718,Guimaraes,CAM,0,3,1206,7,13
Mikel Merino,1718,Newcastle,CAM,1,1,1142,28,17
N. Pépé,1617,Angers,CAM,3,1,1309,36,19
Pedro Obiang,1617,West Ham,CAM,1,1,1767,21,7
S. Benrahma,2425,Lyon,CAM,1,3,737,8,15
S. Berge,2021,Sheffield Utd,CAM,1,1,1119,20,13
S. Longstaff,2122,Newcastle,CAM,1,1,1458,6,7
Santi Comesaña,1819,Rayo Vallecano,CAM,1,1,2032,26,13
T. Bongonda,1617,Celta Vigo,CAM,1,3,2170,53,20
T. Lumanza,1718,Ankaraspor,CAM,0,3,1242,22,12
Thaciano,2122,Altay,CAM,2,1,1630,17,14
A. Mitriță,1617,Pescara,CAM,1,2,483,11,7
A. Saelemaekers,2122,AC Milan,CAM,1,3,1868,52,38
Á. Sagal,2021,Denizlispor,CAM,1,5,2918,63,63
A. Umar,1920,Rizespor,CAM,3,1,1346,40,19
A. Vranckx,2122,VfL Wolfsburg,CAM,2,NR,1138,17,11
A. Waris,1920,Strasbourg,CAM,2,1,371,6,5
Allano,1617,Estoril,CAM,1,3,700,14,13
André Gomes,1819,Everton,CAM,1,1,1986,40,6
B. Soumaré,1819,Lille,CAM,1,1,552,8,5
C. Kouyaté,1920,Crystal Palace,CAM,1,1,2536,17,10
D. Burgzorg,2122,Heracles,CAM,4,NR,1151,25,15
F. Diabaté,1920,Amiens,CAM,1,3,1199,29,13
Francisco Conceição,2122,FC Porto,CAM,2,2,468,13,12
G. Lo Celso,1920,Tottenham,CAM,0,2,524,32,29
Gonçalo Guedes,1617,Benfica,CAM,2,2,1195,14,22
H. Pérez,1819,Espanyol,CAM,1,2,798,20,14
Heriberto Tavares,1920,Boavista,CAM,4,NR,1458,17,16
I. Coulibaly,2122,Beerschot VA,CAM,0,3,1067,6,10
I. Mbenza,2425,Charleroi,CAM,3,1,1116,10,35
J. Draxler,1920,Paris Saint Germain,CAM,0,4,685,9,12
Javi Martínez,2021,Osasuna,CAM,1,1,458,6,6
L. Lapoussin,2122,Union St. Gilloise,CAM,2,3,2916,86,40
Ł. Podolski,1920,Antalyaspor,CAM,1,3,372,4,4
L. Slagveer,1920,Emmen,CAM,2,2,531,15,15
M. Coco,1718,Guingamp,CAM,2,2,1588,24,18
M. El Hankouri,2122,Groningen,CAM,1,5,2326,30,23
M. El Hankouri,2021,Groningen,CAM,3,2,2222,37,27
Miguel Cardoso,1617,Tondela,CAM,1,4,2092,18,24
N. Kanté,1617,Chelsea,CAM,1,1,3139,36,23
N. Pépé,2122,Arsenal,CAM,1,2,697,19,12
P. Mukairu,1920,Antalyaspor,CAM,3,1,1303,42,17
R. Mandragora,1718,Crotone,CAM,2,NR,3240,11,25
R. Ripart,2122,Estac Troyes,CAM,2,2,1900,23,17
R. Seuntjens,1718,VVV Venlo,CAM,3,2,2744,19,33
S. McTominay,2122,Manchester United,CAM,1,1,2393,36,23
S. Serdar,1718,FSV Mainz 05,CAM,2,NR,1699,29,19
Salvador Agra,1718,Aves,CAM,3,1,1415,5,20
Stefano Napoleoni,1819,Başakşehir,CAM,3,1,1282,10,13
W. Hughes,1920,Watford,CAM,1,1,2263,24,26
Y. Bammou,1718,Nantes,CAM,3,NR,728,2,6
Zizo,1617,Nacional,CAM,2,NR,803,5,8
A. De Sart,2122,OH Leuven,CAM,2,NR,880,NR,1
A. Ndiaye,1819,Getafe,CAM,1,2,1011,20,10
Barrenetxea,2021,Real Sociedad,CAM,3,NR,1298,39,15
Bruno Lamas,1819,Santa Clara,CAM,2,2,2390,25,33
Cláudio Falcão,1819,Aves,CAM,2,NR,1520,3,3
Derik Lacerda,2122,Moreirense,CAM,2,2,762,39,14
E. Rigoni,2021,Elche,CAM,1,1,1139,14,11
Edgar Costa,2122,Maritimo,CAM,1,2,1296,8,25
F. Diabaté,2526,Kasımpaşa,CAM,1,4,1977,13,33
Fábio Sturgeon,1617,Belenenses,CAM,2,2,1557,40,36
Gabrielzinho,2425,Moreirense,CAM,3,1,908,20,3
H. Sacko,1920,Denizlispor,CAM,3,1,1571,35,18
I. Ouali,1718,Kortrijk,CAM,4,NR,1514,NR,NR
J. Bamba,2122,Lille,CAM,1,3,2441,34,46
J. Schouten,1819,Excelsior,CAM,1,2,2727,42,16
Josep Señé,1617,Celta Vigo,CAM,0,2,665,6,5
L. Fariña,1718,Aves,CAM,2,NR,361,5,8
L. Puyo,1617,Nancy,CAM,2,NR,1430,8,18
Luis Rioja,2122,Alaves,CAM,1,3,3127,70,33
M. Kamara,2021,Hatayspor,CAM,1,3,655,26,6
M. Loum,2122,Alaves,CAM,2,NR,2316,26,9
M. Terrazzino,1617,1899 Hoffenheim,CAM,1,2,363,5,9
Manu García,1718,NAC Breda,CAM,1,2,3024,117,65
Mohammed Osman,1920,Heracles,CAM,0,3,931,9,18
N. Laursen,2122,Heracles,CAM,4,NR,1863,29,23
P. Clement,1819,PEC Zwolle,CAM,0,3,1462,23,15
P. Gueye,2021,Marseille,CAM,2,NR,2057,7,6
Pedro Augusto,2021,Tondela,CAM,1,2,1689,15,16
R. Meerveld,2122,Willem II,CAM,0,3,534,9,11
R. Zerrouki,2122,Twente,CAM,2,1,2609,19,23
S. Nakajima,2122,Portimonense,CAM,1,2,1599,29,33
T. Weah,2021,Lille,CAM,3,NR,867,8,5
W. Geubbels,2122,Nantes,CAM,2,1,531,2,3
Zé Manuel,1617,Vitoria Setubal,CAM,2,2,1462,8,12
A. Iwobi,2021,Everton,CAM,1,2,1541,45,17
Á. Sagal,2122,Gaziantep FK,CAM,3,1,1786,18,33
André Horta,1617,Benfica,CAM,1,1,645,8,13
António Xavier,1617,Maritimo,CAM,1,3,1469,23,24
C. Stengs,2122,Nice,CAM,1,1,1069,19,23
D. Klas,2122,ADO Den Haag,CAM,2,NR,557,3,2
Deroy Duarte,2122,Fortuna Sittard,CAM,1,2,2705,21,21
E. Choupo-Moting,2021,Bayern München,CAM,3,NR,810,15,13
E. Matazo,2021,Monaco,CAM,1,1,311,4,3
G. Til,1617,AZ Alkmaar,CAM,2,NR,316,2,6
I. Fossum,1718,Hannover 96,CAM,1,1,1304,5,16
I. Sebaoui,2122,Beerschot VA,CAM,3,NR,642,8,14
J. Bruun Larsen,2425,VfB Stuttgart,CAM,1,2,406,6,8
J. Doku,2122,Rennes,CAM,1,2,465,36,9
J. Kluivert,2021,RB Leipzig,CAM,3,NR,809,22,12
J. Schouten,2021,Bologna,CAM,1,1,2519,37,24
K. Coman,1617,Bayern München,CAM,2,1,914,29,22
K. N’Dri,2021,AS Eupen,CAM,1,4,2130,55,23
L. Refaelov,1718,Club Brugge KV,CAM,2,NR,573,NR,NR
M. Azarkan,2122,Excelsior,CAM,3,NR,368,9,8
M. Diouf,1617,Stoke City,CAM,1,2,1382,15,10
M. Suleymanov,2122,Giresunspor,CAM,3,1,1934,23,33
M. Svensson,2122,Willem II,CAM,1,4,1913,25,25
Mousa Tamari,2122,OH Leuven,CAM,3,1,2291,64,24
O. Ayık,1819,Akhisarspor,CAM,1,3,1044,3,13
O. Etebo,1617,Feirense,CAM,2,NR,1904,12,12
P. Ntep,1617,VfL Wolfsburg,CAM,0,2,502,11,6
R. Khedira,1718,FC Augsburg,CAM,1,1,2280,5,10
R. Sottil,2021,Cagliari,CAM,2,1,1188,40,16
S. Cristóforo,1617,Fiorentina,CAM,0,2,683,10,17
S. Diarra,1920,Gaziantep FK,CAM,2,NR,1193,27,9
S. Grandsir,1920,Stade Brestois 29,CAM,3,NR,1500,2,3
S. Thioub,1920,Angers,CAM,1,1,1505,59,23
T. Bifouma,1819,Yeni Malatyaspor,CAM,1,3,1108,24,20
T. Coulibaly,2425,Montpellier,CAM,3,0,1482,32,18
Y. El Ghanassy,1617,Oostende,CAM,4,NR,2267,NR,NR
Y. Herrera,2122,Espanyol,CAM,1,1,1648,19,12
Z. Bakkali,2223,Waalwijk,CAM,3,NR,433,14,8
A. Musa,2122,Fatih Karagümrük,CAM,2,2,1747,24,23
A. Wakaso,1617,Rio Ave,CAM,1,1,1136,7,5
B. Çağıran,1718,Yeni Malatyaspor,CAM,1,1,1070,10,13
B. Santamaría,1920,Angers,CAM,1,1,2506,32,13
D. Lainez,2021,Real Betis,CAM,0,2,855,30,13
Ewandro,1718,Estoril,CAM,1,1,958,13,10
F. Krovinović,1718,Benfica,CAM,1,1,850,10,9
H. Ghacha,2122,Antalyaspor,CAM,1,3,1131,42,27
H. Sacko,2021,Denizlispor,CAM,2,2,1367,21,10
J. Dina Ebimbe,2021,Dijon,CAM,1,1,2152,59,25
J. Paintsil,1819,Genk,CAM,3,NR,1053,NR,NR
Jimmy Briand,2021,Bordeaux,CAM,1,2,551,2,2
João Camacho,2021,Nacional,CAM,3,1,1768,33,23
Jony,2021,Osasuna,CAM,0,2,865,17,19
K. Michalak,2021,Rizespor,CAM,2,2,1370,19,11
L. Blas,1617,Guingamp,CAM,1,1,1150,22,7
L. Refaelov,1617,Club Brugge KV,CAM,2,NR,1114,NR,NR
M. Chouiar,2122,Yeni Malatyaspor,CAM,2,2,1829,84,26
M. Maolida,1920,Nice,CAM,1,2,669,12,13
M. Vlap,2021,Arminia Bielefeld,CAM,1,1,374,1,7
M. Yandaş,1718,Sivasspor,CAM,1,1,839,17,16
S. Gakpé,1819,Cercle Brugge,CAM,3,NR,1061,NR,NR
S. Thioub,2021,Angers,CAM,1,1,1253,35,23
S. Vasiliadis,1920,SC Paderborn 07,CAM,1,1,2811,51,27
Stefano Napoleoni,1718,Başakşehir,CAM,2,1,687,4,6
T. Bašić,2122,Lazio,CAM,0,2,968,7,6
T. Oosting,2122,Willem II,CAM,2,NR,400,NR,2
Wilson Eduardo,1920,SC Braga,CAM,3,NR,708,10,11
A. Bertolacci,2122,Kayserispor,CAM,1,1,626,13,11
A. Hadžiahmetović,1617,Konyaspor,CAM,1,1,2143,23,21
A. Koita,2122,St. Truiden,CAM,3,NR,1152,27,14
A. Okechukwu,1819,Rizespor,CAM,1,1,1214,15,8
B. Aouacheria,1718,Moreirense,CAM,3,NR,1786,22,8
B. Başaçıkoğlu,2122,Heracles,CAM,1,3,1491,29,30
Bryan Jafet Ruiz González,1718,Sporting CP,CAM,2,1,1015,19,20
Costinha,1617,Vitoria Setubal,CAM,1,1,2794,24,20
D. Sinik,2324,Hatayspor,CAM,1,2,325,7,2
G. Grozav,1718,Kardemir Karabukspor,CAM,2,1,863,3,4
G. Nkoudou,1920,Beşiktaş,CAM,3,NR,1672,58,25
I. Bennacer,2021,AC Milan,CAM,0,2,1336,29,5
I. Ouali,1819,Kortrijk,CAM,3,NR,1272,NR,NR
J. Otero,1920,Amiens,CAM,1,2,1206,10,9
M. Anderson,1819,Excelsior,CAM,1,1,711,9,4
M. Coco,1819,Guingamp,CAM,1,2,1840,21,17
R. Rotman,1617,Kayserispor,CAM,1,1,1434,4,9
S. Sarr,1920,Nimes,CAM,0,2,1157,9,11
S. Uçan,1920,Alanyaspor,CAM,1,1,1129,23,26
T. Adams,2021,RB Leipzig,CAM,1,1,1852,15,14
V. Rongier,1920,Marseille,CAM,0,2,1793,27,28
Vinícius Júnior,1819,Real Madrid,CAM,2,NR,864,41,15
Y. Vertessen,2021,PSV Eindhoven,CAM,2,1,506,8,4
B. Çağıran,2021,Erzurumspor FK,CAM,1,1,315,5,4
C. Bozdoğan,2122,Beşiktaş,CAM,1,1,1038,20,10
D. Akintola,2324,Rizespor,CAM,2,1,906,20,12
F. Borini,1617,Sunderland,CAM,2,NR,1740,18,15
F. Krüger,2122,Arminia Bielefeld,CAM,1,2,1121,7,11
İ. Kahveci,1617,Başakşehir,CAM,1,2,969,12,20
Jean Patrick,2122,Santa Clara,CAM,2,1,558,5,6
Jota,1819,Nacional,CAM,0,2,1523,6,22
K. Bistrović,2122,Fatih Karagümrük,CAM,1,1,1127,13,8
K. Dolly,1718,Montpellier,CAM,1,2,880,12,29
K. N’Dri,2526,Lecce,CAM,2,0,545,10,4
L. Gueye,2122,Metz,CAM,0,3,555,7,15
Luís Machado,1920,Moreirense,CAM,1,1,1033,11,10
Murilo,1617,Tondela,CAM,1,2,750,21,14
O. Heil,2122,GO Ahead Eagles,CAM,1,1,692,13,10
Pedro Brazão,2122,Famalicao,CAM,1,1,390,7,5
R. Al Hajj,2122,Heerenveen,CAM,1,1,460,19,11
R. Khedira,1920,FC Augsburg,CAM,0,2,2658,4,12
T. Coulibaly,2021,VfB Stuttgart,CAM,2,1,1512,50,15
V. Černý,2122,Twente,CAM,1,1,550,9,10
Zidane Banjaqui,1920,Aves,CAM,1,1,1381,25,16
A. Živković,1819,Benfica,CAM,0,3,660,12,17
Álvaro Jiménez,1718,Getafe,CAM,1,1,524,13,7
D. Akintola,2122,Adana Demirspor,CAM,2,1,1147,24,16
D. Mbayo,2122,Kortrijk,CAM,2,1,1253,24,17
D. Ndong,1617,Sunderland,CAM,1,NR,2519,22,16
Daniel Noel Drinkwater,1718,Chelsea,CAM,1,NR,522,3,5
Daniel Podence,1718,Sporting CP,CAM,0,3,514,9,12
F. Acheampong,1617,Anderlecht,CAM,3,NR,1654,NR,NR
G. Bayrakdar,2122,Antalyaspor,CAM,2,1,953,7,12
G. Sio,2021,Gençlerbirliği S.K.,CAM,2,1,1275,20,18
Gonçalo Franco,2021,Moreirense,CAM,1,1,1040,6,4
Hugo Seco,1718,Feirense,CAM,1,2,1392,30,8
İ. Akdağ,2122,Kayserispor,CAM,1,1,2174,15,12
I. Ouali,1617,Kortrijk,CAM,3,NR,1863,NR,NR
I. Success,1617,Watford,CAM,1,1,504,21,5
J. Grot,1920,Vitesse,CAM,2,1,846,18,12
José Naranjo,1718,Leganes,CAM,1,NR,558,6,7
K. Karaman,2122,Beşiktaş,CAM,2,1,1255,13,16
K. Zohi,2021,Strasbourg,CAM,2,NR,418,15,3
L. Mothiba,2122,Estac Troyes,CAM,2,NR,520,NR,NR
Licá,2021,Farense,CAM,3,NR,1561,4,8
Lucas Silva,2122,Pacos Ferreira,CAM,3,NR,1907,19,12
M. Moreno,2324,Konyaspor,CAM,2,1,1916,44,18
Miguel Crespo,2122,Fenerbahçe,CAM,1,1,1672,30,20
N. Laursen,2021,Emmen,CAM,3,NR,1435,25,16
N. Vlašić,2122,West Ham,CAM,1,NR,553,9,9
P. Foden,1819,Manchester City,CAM,1,NR,327,8,8
R. Murawski,2021,Denizlispor,CAM,1,1,2505,10,18
Y. Bolasie,2122,Rizespor,CAM,2,1,1349,28,16
Zequinha,1920,Vitoria Setubal,CAM,2,1,1782,10,16
A. Doucouré,1617,Watford,CAM,1,NR,1358,14,12
A. Townsend,1920,Crystal Palace,CAM,1,1,1297,38,14
A. Živković,1617,Benfica,CAM,0,3,928,18,25
Adriano Castanheira,1920,Pacos Ferreira,CAM,1,2,1022,13,12
Allano,1819,Bursaspor,CAM,1,2,1825,34,26
André Horta,1920,SC Braga,CAM,0,2,1602,16,24
Antony,2324,Manchester United,CAM,1,1,1322,26,22
C. Atsu,1819,Newcastle,CAM,1,NR,1487,25,18
C. Falletti,1718,Bologna,CAM,1,NR,307,9,3
E. Kachunga,1718,Huddersfield,CAM,1,1,1338,13,10
Edson Farias,1718,Feirense,CAM,1,2,2029,29,17
Hélder Ferreira,2122,Pacos Ferreira,CAM,2,1,1569,13,23
I. Angulo,2122,Portimonense,CAM,1,1,2368,37,30
I. Hayden,1718,Newcastle,CAM,1,NR,1370,6,11
I. Mbenza,1819,Huddersfield,CAM,1,1,981,5,7
Iago Falqué,2021,Benevento,CAM,1,1,355,7,13
K. N’Dri,2122,AS Eupen,CAM,1,2,1513,38,19
Kike Barja,2122,Osasuna,CAM,2,NR,861,34,5
L. de la Torre,2122,Heracles,CAM,1,1,2782,61,42
M. Fofana,2021,Yeni Malatyaspor,CAM,2,1,1663,69,12
M. Moreno,2223,Konyaspor,CAM,1,2,806,31,12
Pape Cheikh,1617,Celta Vigo,CAM,1,NR,562,8,5
R. Oratmangoen,2122,GO Ahead Eagles,CAM,0,4,2647,85,26
S. Alzate,2021,Brighton,CAM,1,NR,897,8,11
S. Ingelsson,1718,Udinese,CAM,1,NR,323,3,3
S. Longstaff,1819,Newcastle,CAM,1,NR,688,5,5
Silvestre Varela,1718,Kayserispor,CAM,2,NR,367,10,4
T. Roberts,2122,Leeds,CAM,1,1,974,12,15
Y. Bammou,1819,Caen,CAM,2,NR,918,3,6
Y. Baraye,2122,Belenenses,CAM,2,1,1064,19,14
A. Grassi,1617,Atalanta,CAM,1,NR,687,5,3
A. Nordin,1617,Saint Etienne,CAM,2,NR,601,10,1
Abdoul Razzagui Camara,1718,Guingamp,CAM,2,NR,896,NR,NR
Álex Blanco,2021,Valencia,CAM,1,NR,579,4,8
António Xavier,1920,Tondela,CAM,1,2,1423,28,17
B. Santamaría,1819,Angers,CAM,1,NR,3248,29,13
D. Ndoye,2324,Bologna,CAM,1,1,1776,34,22
G. Bayrakdar,2223,Antalyaspor,CAM,2,NR,413,5,6
Gustavo Sauer,2021,Boavista,CAM,2,1,2098,28,29
H. Arter,1819,Cardiff,CAM,0,1,2008,3,10
I. Azzaoui,2021,Heracles,CAM,1,2,1072,21,10
Imoh Ezekiel,1920,Kortrijk,CAM,2,NR,470,NR,NR
Jordi Mboula,2122,Estoril,CAM,1,2,973,10,11
Jorge de Frutos,2324,Rayo Vallecano,CAM,2,0,1540,15,17
M. Chahiri,2021,Strasbourg,CAM,2,NR,796,28,8
M. Wolf,1819,Borussia Dortmund,CAM,1,NR,828,11,7
Nolito,2122,Celta Vigo,CAM,2,NR,1380,13,15
R. D&apos;Haese,2021,Oostende,CAM,1,2,1717,22,14
R. Improta,2021,Benevento,CAM,1,NR,2332,24,21
Raphinha,1920,Sporting CP,CAM,2,NR,360,4,6
T. Bifouma,1617,Bastia,CAM,2,NR,708,3,11
V. Thill,2021,Nacional,CAM,0,2,928,23,12
V. Tusha,2021,Denizlispor,CAM,2,NR,335,8,1
A. Lookman,1819,Everton,CAM,0,2,601,23,10
André Gomes,2021,Everton,CAM,0,1,1568,31,15
Arthur,1819,Barcelona,CAM,0,1,1441,10,14
B. Gilmour,2122,Norwich,CAM,0,1,1858,15,25
B. Manuel,1819,Royal Excel Mouscron,CAM,2,NR,1488,NR,NR
Barrenetxea,2122,Real Sociedad,CAM,1,1,547,15,6
D. Ndoye,2021,Nice,CAM,1,1,532,7,5
F. Jensen,1920,FC Augsburg,CAM,1,NR,455,4,2
J. Makengo,1819,Nice,CAM,1,NR,1024,26,13
K. Monnet-Paquet,1819,Saint Etienne,CAM,1,1,1482,21,14
K. Zohi,1920,Strasbourg,CAM,1,1,525,15,3
L. Singh,1819,Chaves,CAM,2,NR,1374,35,13
L. Ugochukwu,2122,Rennes,CAM,1,NR,394,2,3
M. Eggestein,1617,Werder Bremen,CAM,1,NR,888,2,9
M. Richter,1718,FC Augsburg,CAM,1,NR,598,8,8
M. Wolf,1920,Hertha BSC,CAM,1,NR,1410,NR,NR
Miguel de la Fuente,2122,Alaves,CAM,1,1,826,13,5
O. Idrissi,2122,Cadiz,CAM,1,1,909,23,21
P. Abraham,2021,Groningen,CAM,2,NR,356,6,2
S. Kalu,1920,Bordeaux,CAM,1,1,1358,46,11
S. Longstaff,2021,Newcastle,CAM,0,1,1405,4,12
T. Davies,2021,Everton,CAM,0,1,1424,18,6
Zé Uilton,2122,Pacos Ferreira,CAM,1,2,1881,21,10
A. Dioussé,1718,Saint Etienne,CAM,1,NR,1348,13,8
A. Gory,1920,Cercle Brugge,CAM,2,NR,1154,NR,NR
